Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
païegn,païen,païen,7,"(0, 1, 0)",1,6
pagnge,pagne,pagne,7,"(0, 1, 0)",1,6
ozonge,ozone,ozone,5,"(0, 1, 0)",1,6
ovgnis,ovnis,ovnis,6,"(0, 1, 0)",1,6
ovaile,ovaire,ovaire,6,"(0, 1, 0)",1,6
oyvert,ouvert,ouvert,6,"(0, 1, 0)",1,6
ourret,ourlet,ourlet,6,"(0, 1, 0)",1,6
otalie,otarie,otarie,6,"(0, 1, 0)",1,6
osnose,osmose,osmose,5,"(0, 1, 0)",1,6
olties,orties,orties,6,"(0, 1, 0)",1,6
olteil,orteil,orteil,6,"(0, 1, 0)",1,6
olient,orient,orient,6,"(0, 1, 0)",1,6
olgane,organe,organe,6,"(0, 1, 0)",1,6
pétlin,pétrin,pétrin,7,"(0, 1, 0)",1,6
pétare,pétale,pétale,7,"(0, 1, 0)",1,6
pelsil,persil,persil,7,"(0, 1, 0)",1,6
pernît,permît,permît,7,"(0, 1, 0)",1,6
pelmet,permet,permet,7,"(0, 1, 0)",1,6
perres,perles,perle,7,"(0, 1, 0)",1,6
pingle,pingre,pingre,6,"(0, 1, 0)",1,6
